canal,observado_em,marca_canal,item_id,model_id,seller_sku,sinal_kit,fonte_do_sinal,ativo,escopo,referencia_antes,motivo_antes,status_ponte,metodo_ponte,kit_protheus,marca_kit,n_componentes,unidades,componentes,quantidades,componentes_resolvidos,metodos_do_componente,valor_antes_do_desconto,faixa_desconto,referencia_depois,motivo_depois,ganhou_referencia,bloqueado_para_aprovacao
shopee,2026-09-25,apice,22794400970,209611801269,KIT067,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22598907000,189179353004,KIT043,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22594414034,219179354723,KIT052,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22298924708,229428320098,KIT044,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22494413830,219179352550,KIT046,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,20699886828,209179352158,KIT037,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22998897083,109870262883,KIT054,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22194812005,229435200632,KIT074,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23298891926,238791810203,KIT018,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,23598895922,179720467030,KIT027,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
